Schewfel_y,Schewfel_x
624.361,-1000
561.333,-995.992
498.109,-991.984
434.946,-987.976
372.101,-983.968
309.832,-979.96
248.391,-975.952
188.032,-971.944
129.003,-967.936
71.5453,-963.928
15.8967,-959.92
-37.7133,-955.912
-89.063,-951.904
-137.94,-947.896
-184.141,-943.888
-227.476,-939.88
-267.764,-935.872
-304.839,-931.864
-338.547,-927.856
-368.749,-923.848
-395.321,-919.84
-418.154,-915.832
-437.156,-911.824
-452.252,-907.816
-463.382,-903.808
-470.506,-899.8
-473.601,-895.792
-472.662,-891.784
-467.702,-887.776
-458.753,-883.768
-445.863,-879.76
-429.102,-875.752
-408.554,-871.743
-384.324,-867.735
-356.532,-863.727
-325.316,-859.719
-290.83,-855.711
-253.244,-851.703
-212.743,-847.695
-169.526,-843.687
-123.806,-839.679
-75.8076,-835.671
-25.7686,-831.663
26.0643,-827.655
79.4344,-823.647
134.077,-819.639
189.721,-815.631
246.088,-811.623
302.898,-807.615
359.865,-803.607
416.703,-799.599
473.127,-795.591
528.852,-791.583
583.596,-787.575
637.08,-783.567
689.035,-779.559
739.194,-775.551
787.301,-771.543
833.112,-767.535
876.39,-763.527
916.914,-759.519
954.477,-755.511
988.885,-751.503
1019.96,-747.495
1047.55,-743.487
1071.51,-739.479
1091.72,-735.471
1108.08,-731.463
1120.5,-727.455
1128.94,-723.447
1133.35,-719.439
1133.72,-715.431
1130.06,-711.423
1122.41,-707.415
1110.81,-703.407
1095.34,-699.399
1076.11,-695.391
1053.24,-691.383
1026.86,-687.375
997.149,-683.367
964.288,-679.359
928.481,-675.351
889.949,-671.343
848.933,-667.335
805.687,-663.327
760.481,-659.319
713.597,-655.311
665.329,-651.303
615.979,-647.295
565.859,-643.287
515.285,-639.279
464.577,-635.271
414.057,-631.263
364.048,-627.255
314.87,-623.247
266.838,-619.238
220.261,-615.23
175.44,-611.222
132.666,-607.214
92.2148,-603.206
54.3503,-599.198
19.3187,-595.19
-12.6518,-591.182
-41.3534,-587.174
-66.5997,-583.166
-88.2278,-579.158
-106.099,-575.15
-120.101,-571.142
-130.149,-567.134
-136.183,-563.126
-138.176,-559.118
-136.127,-555.11
-130.065,-551.102
-120.048,-547.094
-106.165,-543.086
-88.5327,-539.078
-67.2968,-535.07
-42.6306,-531.062
-14.7342,-527.054
16.1669,-523.046
49.823,-519.038
85.962,-515.03
124.291,-511.022
164.5,-507.014
206.26,-503.006
249.231,-498.998
293.06,-494.99
337.387,-490.982
381.845,-486.974
426.064,-482.966
469.677,-478.958
512.318,-474.95
553.629,-470.942
593.26,-466.934
630.877,-462.926
666.159,-458.918
698.805,-454.91
728.539,-450.902
755.104,-446.894
778.277,-442.886
797.859,-438.878
813.686,-434.87
825.629,-430.862
833.593,-426.854
837.521,-422.846
837.393,-418.838
833.23,-414.83
825.092,-410.822
813.076,-406.814
797.321,-402.806
778.004,-398.798
755.336,-394.79
729.567,-390.782
700.979,-386.774
669.884,-382.766
636.624,-378.758
601.565,-374.75
565.094,-370.741
527.616,-366.733
489.55,-362.725
451.324,-358.717
413.37,-354.709
376.118,-350.701
339.995,-346.693
305.415,-342.685
272.779,-338.677
242.465,-334.669
214.825,-330.661
190.184,-326.653
168.829,-322.645
151.007,-318.637
136.924,-314.629
126.737,-310.621
120.557,-306.613
118.439,-302.605
120.386,-298.597
126.345,-294.589
136.208,-290.581
149.812,-286.573
166.94,-282.565
187.322,-278.557
210.639,-274.549
236.526,-270.541
264.579,-266.533
294.353,-262.525
325.378,-258.517
357.157,-254.509
389.179,-250.501
420.922,-246.493
451.868,-242.485
481.503,-238.477
509.335,-234.469
534.896,-230.461
557.755,-226.453
577.525,-222.445
593.871,-218.437
606.519,-214.429
615.261,-210.421
619.964,-206.413
620.573,-202.405
617.113,-198.397
609.694,-194.389
598.509,-190.381
583.834,-186.373
566.024,-182.365
545.51,-178.357
522.788,-174.349
498.411,-170.341
472.981,-166.333
447.133,-162.325
421.52,-158.317
396.798,-154.309
373.611,-150.301
352.569,-146.293
334.233,-142.285
319.092,-138.277
307.553,-134.269
299.916,-130.261
296.368,-126.253
296.965,-122.244
301.624,-118.236
310.123,-114.228
322.096,-110.22
337.042,-106.212
354.333,-102.204
373.235,-98.1964
392.927,-94.1884
412.535,-90.1804
431.167,-86.1723
447.952,-82.1643
462.087,-78.1563
472.883,-74.1483
479.817,-70.1403
482.573,-66.1323
481.083,-62.1242
475.561,-58.1162
466.515,-54.1082
454.746,-50.1002
441.32,-46.0922
427.511,-42.0842
414.705,-38.0762
404.275,-34.0681
397.409,-30.0601
394.904,-26.0521
396.942,-22.0441
402.866,-18.0361
411.018,-14.0281
418.744,-10.02
422.808,-6.01202
420.963,-2.00401
417.003,2.00401
415.158,6.01202
419.222,10.02
426.948,14.0281
435.1,18.0361
441.024,22.0441
443.061,26.0521
440.557,30.0601
433.691,34.0681
423.261,38.0762
410.455,42.0842
396.645,46.0922
383.219,50.1002
371.451,54.1082
362.405,58.1162
356.883,62.1242
355.393,66.1323
358.149,70.1403
365.082,74.1483
375.879,78.1563
390.014,82.1643
406.798,86.1723
425.43,90.1804
445.039,94.1884
464.731,98.1964
483.632,102.204
500.924,106.212
515.87,110.22
527.843,114.228
536.342,118.236
541.001,122.244
541.598,126.253
538.05,130.261
530.413,134.269
518.874,138.277
503.733,142.285
485.396,146.293
464.354,150.301
441.168,154.309
416.446,158.317
390.833,162.325
364.985,166.333
339.555,170.341
315.178,174.349
292.456,178.357
271.941,182.365
254.132,186.373
239.457,190.381
228.272,194.389
220.852,198.397
217.393,202.405
218.001,206.413
222.705,210.421
231.447,214.429
244.095,218.437
260.441,222.445
280.21,226.453
303.07,230.461
328.631,234.469
356.463,238.477
386.098,242.485
417.043,246.493
448.787,250.501
480.808,254.509
512.588,258.517
543.612,262.525
573.387,266.533
601.439,270.541
627.327,274.549
650.644,278.557
671.026,282.565
688.154,286.573
701.758,290.581
711.621,294.589
717.58,298.597
719.527,302.605
717.409,306.613
711.228,310.621
701.042,314.629
686.959,318.637
669.137,322.645
647.781,326.653
623.14,330.661
595.501,334.669
565.187,338.677
532.551,342.685
497.971,346.693
461.848,350.701
424.596,354.709
386.641,358.717
348.415,362.725
310.35,366.733
272.872,370.741
236.401,374.75
201.342,378.758
168.082,382.766
136.987,386.774
108.399,390.782
82.6298,394.79
59.9622,398.798
40.6445,402.806
24.8898,406.814
12.8741,410.822
4.7354,414.83
0.57247,418.838
0.44479,422.846
4.37241,426.854
12.3364,430.862
24.2794,434.87
40.1071,438.878
59.6891,442.886
82.8613,446.894
109.427,450.902
139.16,454.91
171.807,458.918
207.089,462.926
244.706,466.934
284.337,470.942
325.648,474.95
368.289,478.958
411.902,482.966
456.121,486.974
500.579,490.982
544.906,494.99
588.735,498.998
631.706,503.006
673.466,507.014
713.675,511.022
752.004,515.03
788.143,519.038
821.799,523.046
852.7,527.054
880.596,531.062
905.263,535.07
926.498,539.078
944.131,543.086
958.014,547.094
968.03,551.102
974.093,555.11
976.142,559.118
974.149,563.126
968.115,567.134
958.067,571.142
944.065,575.15
926.194,579.158
904.565,583.166
879.319,587.174
850.618,591.182
818.647,595.19
783.616,599.198
745.751,603.206
705.3,607.214
662.525,611.222
617.705,615.23
571.128,619.238
523.096,623.247
473.917,627.255
423.909,631.263
373.389,635.271
322.681,639.279
272.107,643.287
221.986,647.295
172.637,651.303
124.369,655.311
77.485,659.319
32.279,663.327
-10.9669,667.335
-51.9832,671.343
-90.5148,675.351
-126.322,679.359
-159.184,683.367
-188.894,687.375
-215.27,691.383
-238.145,695.391
-257.376,699.399
-272.842,703.407
-284.441,707.415
-292.098,711.423
-295.755,715.431
-295.383,719.439
-290.972,723.447
-282.536,727.455
-270.11,731.463
-253.753,735.471
-233.545,739.479
-209.586,743.487
-181.997,747.495
-150.92,751.503
-116.511,755.511
-78.9486,759.519
-38.4241,763.527
4.85416,767.535
50.6644,771.543
98.7721,775.551
148.931,779.559
200.885,783.567
254.37,787.575
309.114,791.583
364.839,795.591
421.263,799.599
478.101,803.607
535.068,807.615
591.878,811.623
648.245,815.631
703.889,819.639
758.531,823.647
811.902,827.655
863.734,831.663
913.773,835.671
961.771,839.679
1007.49,843.687
1050.71,847.695
1091.21,851.703
1128.8,855.711
1163.28,859.719
1194.5,863.727
1222.29,867.735
1246.52,871.743
1267.07,875.752
1283.83,879.76
1296.72,883.768
1305.67,887.776
1310.63,891.784
1311.57,895.792
1308.47,899.8
1301.35,903.808
1290.22,907.816
1275.12,911.824
1256.12,915.832
1233.29,919.84
1206.71,923.848
1176.51,927.856
1142.8,931.864
1105.73,935.872
1065.44,939.88
1022.11,943.888
975.906,947.896
927.029,951.904
875.679,955.912
822.069,959.92
766.421,963.928
708.963,967.936
649.933,971.944
589.574,975.952
528.134,979.96
465.864,983.968
403.02,987.976
339.857,991.984
276.633,995.992
213.605,1000
